#time_of_image,time_of_closest_position_estimate,time_dist,filename,x,y
1584457351.3000,1584457351.2400,0.0600,kodak_00000.jpg,-0.2072,0.0344
1584457351.4900,1584457351.4400,0.0500,kodak_00001.jpg,-0.2072,0.0344
1584457351.7000,1584457351.6900,0.0100,kodak_00002.jpg,-0.2072,0.0344
1584457351.9100,1584457351.8800,0.0300,kodak_00003.jpg,-0.2072,0.0344
1584457352.1100,1584457352.0800,0.0300,kodak_00004.jpg,-0.2072,0.0344
1584457352.3000,1584457352.2600,0.0400,kodak_00005.jpg,-0.2072,0.0344
1584457352.5300,1584457352.4800,0.0500,kodak_00006.jpg,-0.2072,0.0343
1584457352.6900,1584457352.6800,0.0100,kodak_00007.jpg,-0.2072,0.0343
1584457352.8900,1584457352.9200,0.0300,kodak_00008.jpg,-0.2072,0.0343
1584457353.1100,1584457353.1000,0.0100,kodak_00009.jpg,-0.2072,0.0343
1584457353.2900,1584457353.3000,0.0100,kodak_00010.jpg,-0.2072,0.0344
1584457353.4900,1584457353.5000,0.0100,kodak_00011.jpg,-0.2072,0.0343
1584457353.7000,1584457353.6900,0.0100,kodak_00012.jpg,-0.2072,0.0344
1584457353.8900,1584457353.8900,0.0000,kodak_00013.jpg,-0.2072,0.0344
1584457354.0900,1584457354.0800,0.0100,kodak_00014.jpg,-0.2072,0.0344
1584457354.2900,1584457354.2700,0.0200,kodak_00015.jpg,-0.2072,0.0344
1584457354.4900,1584457354.4500,0.0400,kodak_00016.jpg,-0.2072,0.0344
1584457354.7000,1584457354.7600,0.0600,kodak_00017.jpg,-0.2072,0.0344
1584457354.8900,1584457354.9000,0.0100,kodak_00018.jpg,-0.2072,0.0344
1584457355.0900,1584457354.9500,0.1400,kodak_00019.jpg,-0.2072,0.0343
1584457355.2900,1584457355.2500,0.0400,kodak_00020.jpg,-0.2072,0.0342
1584457355.5100,1584457355.4800,0.0300,kodak_00021.jpg,-0.2072,0.0342
1584457355.7000,1584457355.7300,0.0300,kodak_00022.jpg,-0.2071,0.0346
1584457355.8900,1584457355.9000,0.0100,kodak_00023.jpg,-0.2072,0.0342
1584457356.0900,1584457356.0700,0.0200,kodak_00024.jpg,-0.2072,0.0342
1584457356.3000,1584457356.2400,0.0600,kodak_00025.jpg,-0.2073,0.0335
1584457356.4900,1584457356.5700,0.0800,kodak_00026.jpg,-0.2073,0.0334
1584457356.7000,1584457356.6800,0.0200,kodak_00027.jpg,-0.2074,0.0331
1584457356.9000,1584457356.8700,0.0300,kodak_00028.jpg,-0.2074,0.0332
1584457357.1000,1584457357.1100,0.0100,kodak_00029.jpg,-0.2074,0.0332
1584457357.3000,1584457357.3300,0.0300,kodak_00030.jpg,-0.2074,0.0332
1584457357.5000,1584457357.5100,0.0100,kodak_00031.jpg,-0.2074,0.0333
1584457357.7000,1584457357.6300,0.0700,kodak_00032.jpg,-0.2074,0.0333
1584457357.9000,1584457357.8800,0.0200,kodak_00033.jpg,-0.2074,0.0331
1584457358.1000,1584457357.8800,0.2200,kodak_00034.jpg,-0.2074,0.0331
1584457358.3000,1584457358.3600,0.0600,kodak_00035.jpg,-0.2074,0.0332
1584457358.5100,1584457358.4400,0.0700,kodak_00036.jpg,-0.2074,0.0327
1584457358.7100,1584457358.7800,0.0700,kodak_00037.jpg,-0.2074,0.0327
1584457358.9100,1584457358.8600,0.0500,kodak_00038.jpg,-0.2075,0.0321
1584457359.0900,1584457359.1200,0.0300,kodak_00039.jpg,-0.2076,0.0319
1584457359.3000,1584457359.3400,0.0400,kodak_00040.jpg,-0.2075,0.0326
1584457359.5100,1584457359.4300,0.0800,kodak_00041.jpg,-0.2074,0.0327
1584457359.6900,1584457359.7300,0.0400,kodak_00042.jpg,-0.2074,0.0328
1584457359.9000,1584457359.8600,0.0400,kodak_00043.jpg,-0.2074,0.0328
1584457360.1000,1584457360.0500,0.0500,kodak_00044.jpg,-0.2074,0.0327
1584457360.3000,1584457360.2500,0.0500,kodak_00045.jpg,-0.2074,0.0330
1584457360.5000,1584457360.5100,0.0100,kodak_00046.jpg,-0.2074,0.0329
1584457360.7000,1584457360.6500,0.0500,kodak_00047.jpg,-0.2074,0.0331
1584457360.9000,1584457360.8400,0.0600,kodak_00048.jpg,-0.2073,0.0333
1584457361.1000,1584457361.0300,0.0700,kodak_00049.jpg,-0.2074,0.0331
1584457361.3000,1584457361.2300,0.0700,kodak_00050.jpg,-0.2074,0.0331
1584457361.5000,1584457361.5000,0.0000,kodak_00051.jpg,-0.2074,0.0331
1584457361.7100,1584457361.7200,0.0100,kodak_00052.jpg,-0.2074,0.0331
1584457361.9000,1584457361.8900,0.0100,kodak_00053.jpg,-0.2074,0.0331
1584457362.1000,1584457362.1100,0.0100,kodak_00054.jpg,-0.2074,0.0331
1584457362.3000,1584457362.2800,0.0200,kodak_00055.jpg,-0.2074,0.0332
1584457362.5000,1584457362.4700,0.0300,kodak_00056.jpg,-0.2074,0.0331
1584457362.7000,1584457362.6800,0.0200,kodak_00057.jpg,-0.2074,0.0331
1584457362.9000,1584457362.8700,0.0300,kodak_00058.jpg,-0.2074,0.0332
1584457363.1000,1584457363.0800,0.0200,kodak_00059.jpg,-0.2073,0.0333
1584457363.3000,1584457363.3200,0.0200,kodak_00060.jpg,-0.2073,0.0335
1584457363.5000,1584457363.4600,0.0400,kodak_00061.jpg,-0.2073,0.0335
1584457363.7000,1584457363.6400,0.0600,kodak_00062.jpg,-0.2073,0.0336
1584457363.9000,1584457363.9600,0.0600,kodak_00063.jpg,-0.2073,0.0336
1584457364.1100,1584457364.1400,0.0300,kodak_00064.jpg,-0.2073,0.0336
1584457364.3000,1584457364.2800,0.0200,kodak_00065.jpg,-0.2073,0.0336
1584457364.5100,1584457364.5300,0.0200,kodak_00066.jpg,-0.2073,0.0336
1584457364.7000,1584457364.5300,0.1700,kodak_00067.jpg,-0.2073,0.0336
1584457364.9000,1584457364.9000,0.0000,kodak_00068.jpg,-0.2073,0.0336
1584457365.1100,1584457365.1600,0.0500,kodak_00069.jpg,-0.2073,0.0337
1584457365.3000,1584457365.2700,0.0300,kodak_00070.jpg,-0.2073,0.0337
1584457365.5000,1584457365.4700,0.0300,kodak_00071.jpg,-0.2073,0.0337
1584457365.7200,1584457365.7300,0.0100,kodak_00072.jpg,-0.2073,0.0337
1584457365.9000,1584457365.9000,0.0000,kodak_00073.jpg,-0.2073,0.0337
1584457366.1000,1584457366.1900,0.0900,kodak_00074.jpg,-0.2073,0.0337
1584457366.3000,1584457366.2700,0.0300,kodak_00075.jpg,-0.2073,0.0337
1584457366.5000,1584457366.4400,0.0600,kodak_00076.jpg,-0.2073,0.0337
1584457366.7100,1584457366.6400,0.0700,kodak_00077.jpg,-0.2073,0.0337
1584457366.9100,1584457366.9100,0.0000,kodak_00078.jpg,-0.2073,0.0338
1584457367.1100,1584457367.1000,0.0100,kodak_00079.jpg,-0.2073,0.0338
1584457367.3100,1584457367.3300,0.0200,kodak_00080.jpg,-0.2073,0.0338
1584457367.5100,1584457367.4500,0.0600,kodak_00081.jpg,-0.2073,0.0338
1584457367.7100,1584457367.7600,0.0500,kodak_00082.jpg,-0.2073,0.0338
1584457367.9100,1584457367.9600,0.0500,kodak_00083.jpg,-0.2073,0.0338
1584457368.1100,1584457368.1400,0.0300,kodak_00084.jpg,-0.2073,0.0338
1584457368.3100,1584457368.3300,0.0200,kodak_00085.jpg,-0.2073,0.0338
1584457368.5100,1584457368.5300,0.0200,kodak_00086.jpg,-0.2073,0.0338
1584457368.7000,1584457368.7200,0.0200,kodak_00087.jpg,-0.2072,0.0339
1584457368.9000,1584457368.8400,0.0600,kodak_00088.jpg,-0.2072,0.0339
1584457369.1000,1584457369.0400,0.0600,kodak_00089.jpg,-0.2072,0.0339
1584457369.3100,1584457369.3500,0.0400,kodak_00090.jpg,-0.2072,0.0339
1584457369.5100,1584457369.5500,0.0400,kodak_00091.jpg,-0.2072,0.0339
1584457369.7100,1584457369.7300,0.0200,kodak_00092.jpg,-0.2072,0.0339
1584457369.9200,1584457369.9200,0.0000,kodak_00093.jpg,-0.2072,0.0339
1584457370.1200,1584457370.1200,0.0000,kodak_00094.jpg,-0.2072,0.0339
1584457370.3100,1584457370.3700,0.0600,kodak_00095.jpg,-0.2072,0.0340
1584457370.5100,1584457370.5600,0.0500,kodak_00096.jpg,-0.2072,0.0340
1584457370.7100,1584457370.7500,0.0400,kodak_00097.jpg,-0.2072,0.0340
1584457370.9100,1584457370.8800,0.0300,kodak_00098.jpg,-0.2072,0.0340
1584457371.1100,1584457371.1300,0.0200,kodak_00099.jpg,-0.2072,0.0340
1584457371.3100,1584457371.3200,0.0100,kodak_00100.jpg,-0.2072,0.0340
1584457371.5100,1584457371.5100,0.0000,kodak_00101.jpg,-0.2072,0.0340
1584457371.7100,1584457371.7700,0.0600,kodak_00102.jpg,-0.2072,0.0340
1584457371.9200,1584457371.9600,0.0400,kodak_00103.jpg,-0.2072,0.0340
1584457372.1100,1584457372.1500,0.0400,kodak_00104.jpg,-0.2072,0.0340
1584457372.3000,1584457372.2700,0.0300,kodak_00105.jpg,-0.2072,0.0340
1584457372.5100,1584457372.5300,0.0200,kodak_00106.jpg,-0.2072,0.0340
1584457372.7100,1584457372.7300,0.0200,kodak_00107.jpg,-0.2072,0.0340
1584457372.9100,1584457372.9700,0.0600,kodak_00108.jpg,-0.2072,0.0340
1584457373.1100,1584457373.1600,0.0500,kodak_00109.jpg,-0.2072,0.0340
1584457373.3100,1584457373.3600,0.0500,kodak_00110.jpg,-0.2072,0.0340
1584457373.5100,1584457373.5500,0.0400,kodak_00111.jpg,-0.2072,0.0340
1584457373.7100,1584457373.8000,0.0900,kodak_00112.jpg,-0.2072,0.0340
1584457373.9100,1584457373.9300,0.0200,kodak_00113.jpg,-0.2072,0.0340
1584457374.1100,1584457374.1200,0.0100,kodak_00114.jpg,-0.2072,0.0340
1584457374.3200,1584457374.3700,0.0500,kodak_00115.jpg,-0.2072,0.0340
1584457374.5100,1584457374.5700,0.0600,kodak_00116.jpg,-0.2072,0.0340
1584457374.7200,1584457374.7500,0.0300,kodak_00117.jpg,-0.2072,0.0340
1584457374.9100,1584457374.9400,0.0300,kodak_00118.jpg,-0.2072,0.0340
1584457375.1200,1584457375.1500,0.0300,kodak_00119.jpg,-0.2030,0.0333
1584457375.3200,1584457375.3500,0.0300,kodak_00120.jpg,-0.1981,0.0325
