#time_of_image,time_of_closest_position_estimate,time_dist,filename,x,y
1584458633.2700,1584458633.2500,0.0200,kodak_00470.jpg,-0.0203,0.2090
1584458633.4700,1584458633.4700,0.0000,kodak_00471.jpg,-0.0203,0.2090
1584458633.6700,1584458633.6600,0.0100,kodak_00472.jpg,-0.0203,0.2090
1584458633.8700,1584458633.8300,0.0400,kodak_00473.jpg,-0.0203,0.2090
1584458634.0800,1584458634.0300,0.0500,kodak_00474.jpg,-0.0203,0.2090
1584458634.2700,1584458634.2200,0.0500,kodak_00475.jpg,-0.0203,0.2090
1584458634.4700,1584458634.5200,0.0500,kodak_00476.jpg,-0.0203,0.2090
1584458634.6700,1584458634.6700,0.0000,kodak_00477.jpg,-0.0203,0.2090
1584458634.8700,1584458634.8500,0.0200,kodak_00478.jpg,-0.0203,0.2090
1584458635.0700,1584458635.0500,0.0200,kodak_00479.jpg,-0.0203,0.2090
1584458635.2700,1584458635.2800,0.0100,kodak_00480.jpg,-0.0203,0.2090
1584458635.4700,1584458635.4400,0.0300,kodak_00481.jpg,-0.0203,0.2090
1584458635.6800,1584458635.7500,0.0700,kodak_00482.jpg,-0.0203,0.2090
1584458635.8800,1584458635.9300,0.0500,kodak_00483.jpg,-0.0202,0.2090
1584458636.0700,1584458636.1200,0.0500,kodak_00484.jpg,-0.0202,0.2090
1584458636.2700,1584458636.3200,0.0500,kodak_00485.jpg,-0.0202,0.2090
1584458636.4700,1584458636.4400,0.0300,kodak_00486.jpg,-0.0202,0.2090
1584458636.6800,1584458636.7000,0.0200,kodak_00487.jpg,-0.0202,0.2090
1584458636.8800,1584458636.8900,0.0100,kodak_00488.jpg,-0.0202,0.2090
1584458637.0700,1584458637.0200,0.0500,kodak_00489.jpg,-0.0202,0.2090
1584458637.2800,1584458637.2100,0.0700,kodak_00490.jpg,-0.0202,0.2090
1584458637.4800,1584458637.5300,0.0500,kodak_00491.jpg,-0.0202,0.2090
1584458637.6700,1584458637.7200,0.0500,kodak_00492.jpg,-0.0202,0.2090
1584458637.8700,1584458637.9300,0.0600,kodak_00493.jpg,-0.0202,0.2090
1584458638.0800,1584458638.0800,0.0000,kodak_00494.jpg,-0.0202,0.2090
1584458638.2800,1584458638.3100,0.0300,kodak_00495.jpg,-0.0202,0.2090
1584458638.4800,1584458638.4600,0.0200,kodak_00496.jpg,-0.0202,0.2090
1584458638.6700,1584458638.6300,0.0400,kodak_00497.jpg,-0.0202,0.2090
1584458638.8800,1584458638.9400,0.0600,kodak_00498.jpg,-0.0202,0.2090
1584458639.0800,1584458639.1300,0.0500,kodak_00499.jpg,-0.0202,0.2090
1584458639.2700,1584458639.2000,0.0700,kodak_00500.jpg,-0.0202,0.2090
1584458639.4700,1584458639.4500,0.0200,kodak_00501.jpg,-0.0202,0.2090
1584458639.6800,1584458639.6500,0.0300,kodak_00502.jpg,-0.0202,0.2090
1584458639.8800,1584458639.9000,0.0200,kodak_00503.jpg,-0.0202,0.2090
1584458640.0800,1584458640.0900,0.0100,kodak_00504.jpg,-0.0202,0.2090
1584458640.2800,1584458640.2200,0.0600,kodak_00505.jpg,-0.0202,0.2090
1584458640.4800,1584458640.5400,0.0600,kodak_00506.jpg,-0.0202,0.2090
1584458640.6800,1584458640.7300,0.0500,kodak_00507.jpg,-0.0202,0.2090
1584458640.8800,1584458640.9200,0.0400,kodak_00508.jpg,-0.0202,0.2090
1584458641.0700,1584458641.1200,0.0500,kodak_00509.jpg,-0.0202,0.2090
1584458641.2800,1584458641.2500,0.0300,kodak_00510.jpg,-0.0202,0.2090
1584458641.4800,1584458641.5000,0.0200,kodak_00511.jpg,-0.0202,0.2090
1584458641.6800,1584458641.6900,0.0100,kodak_00512.jpg,-0.0202,0.2090
1584458641.8800,1584458641.9400,0.0600,kodak_00513.jpg,-0.0202,0.2090
1584458642.0800,1584458642.1400,0.0600,kodak_00514.jpg,-0.0202,0.2090
1584458642.2800,1584458642.3300,0.0500,kodak_00515.jpg,-0.0202,0.2090
1584458642.4800,1584458642.5200,0.0400,kodak_00516.jpg,-0.0202,0.2090
1584458642.6800,1584458642.6500,0.0300,kodak_00517.jpg,-0.0202,0.2090
1584458642.8800,1584458642.8700,0.0100,kodak_00518.jpg,-0.0202,0.2090
1584458643.0800,1584458643.1000,0.0200,kodak_00519.jpg,-0.0202,0.2090
1584458643.2800,1584458643.2900,0.0100,kodak_00520.jpg,-0.0202,0.2090
1584458643.4800,1584458643.4800,0.0000,kodak_00521.jpg,-0.0202,0.2090
1584458643.6800,1584458643.7400,0.0600,kodak_00522.jpg,-0.0202,0.2090
1584458643.8800,1584458643.9300,0.0500,kodak_00523.jpg,-0.0202,0.2090
1584458644.0800,1584458644.1200,0.0400,kodak_00524.jpg,-0.0202,0.2090
1584458644.2800,1584458644.3100,0.0300,kodak_00525.jpg,-0.0202,0.2090
1584458644.4800,1584458644.5000,0.0200,kodak_00526.jpg,-0.0202,0.2090
1584458644.6800,1584458644.7000,0.0200,kodak_00527.jpg,-0.0202,0.2090
1584458644.8800,1584458644.8900,0.0100,kodak_00528.jpg,-0.0202,0.2090
1584458645.0900,1584458645.0800,0.0100,kodak_00529.jpg,-0.0199,0.2066
1584458645.2800,1584458645.3300,0.0500,kodak_00530.jpg,-0.0194,0.2014
1584458645.4900,1584458645.5300,0.0400,kodak_00531.jpg,-0.0175,0.1949
1584458645.6800,1584458645.7200,0.0400,kodak_00532.jpg,-0.0161,0.1855
1584458645.8800,1584458645.9100,0.0300,kodak_00533.jpg,-0.0151,0.1740
1584458646.0800,1584458646.1000,0.0200,kodak_00534.jpg,-0.0142,0.1621
1584458646.2700,1584458646.3000,0.0300,kodak_00535.jpg,-0.0124,0.1488
1584458646.4800,1584458646.4900,0.0100,kodak_00536.jpg,-0.0103,0.1320
1584458646.6800,1584458646.6900,0.0100,kodak_00537.jpg,-0.0078,0.1152
