image,160_x,160_y,160_z,160_r1,160_r2,160_r3,160_bb_x1,160_bb_y1,160_bb_x2,160_bb_y2,160_bb_x3,160_bb_y3,160_bb_x4,160_bb_y4,160_error
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00338.jpg,2.53679,-3.36046,1.41405,-0.0262653,3.1105,-0.00177465,2000.68,833.759,1857.24,772.152,1957.05,621.17,2113.78,716.685,0.25777
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00339.jpg,2.53283,-3.35595,1.41439,-0.0183852,3.10459,-0.00881627,2000.23,834.125,1856.88,772.505,1956.77,621.327,2113.44,716.916,0.260331
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00342.jpg,2.53356,-3.35701,1.4152,-0.0188948,3.10455,-0.0104943,2000.22,834.274,1856.81,772.568,1956.72,621.481,2113.38,716.789,0.224089
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00345.jpg,2.5332,-3.35633,1.4147,-0.0205806,3.10538,-0.00739441,2000.25,834.167,1856.93,772.565,1956.81,621.338,2113.34,716.939,0.23751
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00353.jpg,2.52234,-3.34299,1.4093,-0.019079,3.10516,0.00656153,2000.21,834.215,1856.99,772.486,1956.8,621.396,2113.32,716.794,0.3212
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00358.jpg,2.52967,-3.35214,1.41258,-0.0148179,3.10579,-0.0106578,2000.3,834.136,1856.99,772.543,1956.79,621.315,2113.25,716.877,0.214267
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00363.jpg,2.54178,-3.36828,1.41936,-0.0279435,3.10606,-0.00909297,2000.2,834.154,1856.92,772.55,1956.75,621.369,2113.3,716.948,0.328181
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00379.jpg,2.5306,-3.35242,1.41336,-0.0206409,3.10421,-0.00541053,2000.26,834.197,1857.03,772.458,1956.76,621.404,2113.28,716.899,0.272912
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00380.jpg,2.53086,-3.35346,1.41391,-0.0182304,3.10344,-0.0073932,2000.38,834.189,1856.93,772.507,1956.77,621.276,2113.3,716.912,0.231104
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00387.jpg,2.53256,-3.35469,1.4142,-0.0194112,3.10471,-0.00310373,2000.19,834.267,1856.94,772.532,1956.74,621.298,2113.34,716.897,0.283077
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00394.jpg,2.53972,-3.36302,1.41812,-0.0107583,3.10301,-0.0234045,2000.51,833.985,1856.96,772.606,1956.78,621.439,2113.35,716.921,0.401552
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00397.jpg,2.53613,-3.36121,1.41662,-0.0153449,3.10289,-0.0162313,2000.29,834.158,1856.93,772.608,1956.76,621.359,2113.35,716.854,0.291483
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00398.jpg,2.52978,-3.35091,1.4124,-0.0151446,3.10397,0.00377596,2000.24,834.129,1856.92,772.659,1956.87,621.276,2113.31,716.999,0.309895
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00399.jpg,2.52733,-3.35704,1.41447,-0.0189366,3.10427,-0.00901198,1999.69,833.681,1856.07,772.187,1955.73,620.962,2112.34,716.172,0.244885
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00400.jpg,2.52763,-3.37206,1.41836,-0.0159224,3.10315,-0.0126752,1998.21,832.39,1854.96,771.227,1953.8,619.741,2110.6,714.722,0.228012
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00401.jpg,2.52391,-3.37727,1.4222,-0.0153542,3.10495,-0.0133226,1997.29,832.119,1853.93,771.085,1952.43,619.754,2108.98,714.214,0.288474
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00402.jpg,2.52582,-3.39315,1.42831,-0.00867276,3.1075,-0.0177243,1995.68,831.252,1852.38,770.372,1950.68,619.166,2107.14,713.328,0.294882
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00403.jpg,2.51254,-3.40037,1.43063,-0.0183989,3.10647,-0.00755573,1993.2,829.637,1850.1,768.993,1947.61,617.885,2104.16,711.656,0.226073
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00404.jpg,2.51465,-3.4176,1.43409,-0.0170236,3.1051,-0.0182201,1992.26,828.355,1849.14,767.917,1946.33,616.917,2102.67,710.415,0.325824
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00405.jpg,2.50867,-3.45767,1.43312,-0.0122374,3.10473,-0.027931,1988.92,823.227,1845.84,763.176,1941.8,612.185,2098.41,705.029,0.25051
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00406.jpg,2.53407,-3.45084,1.43039,-0.01928,3.10562,-0.0181767,1993.5,825.403,1850.93,764.638,1947.21,614.491,2103.1,707.89,0.223266
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00407.jpg,2.54385,-3.45402,1.44724,-0.042701,3.1129,-0.00421953,1992.93,827.781,1850.97,766.967,1947.09,617.581,2102.36,710.768,0.474163
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00408.jpg,2.60402,-3.44973,1.4556,-0.0467038,3.10172,-0.0341521,2000.53,833.771,1859.76,771.324,1956.73,623.455,2110.53,717.941,0.267537
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00409.jpg,2.57678,-3.49553,1.45245,-0.0459123,3.10854,-0.0228518,1994.62,826.301,1853.32,764.883,1948.81,616.533,2103.22,709.821,0.345821
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00410.jpg,2.59013,-3.5244,1.42605,-0.0211742,3.10144,-0.0105537,1997.38,820.462,1855.97,758.427,1951.17,611.099,2105.49,704.781,0.431565
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00411.jpg,2.57774,-3.59213,1.39607,-0.03671,3.10062,0.00286791,1994.32,808.314,1852.45,746.134,1946.67,598.96,2101.58,693.267,0.281925
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00412.jpg,2.67577,-3.56157,1.34583,-0.0833183,3.11294,0.0287151,2014.51,812.068,1873.94,746.197,1970.72,602.422,2123.92,699.759,0.208828
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00413.jpg,2.76896,-3.58002,1.29598,-0.116103,3.10568,0.0346175,2029.62,810.805,1890.74,741.207,1990.25,600.285,2141.58,701.586,0.371887
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00414.jpg,2.58321,-3.71904,1.32088,-0.0557388,3.1048,0.0471282,1993.85,785.457,1851.8,722.284,1945,577.187,2101.01,671.789,0.274076
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00415.jpg,2.65404,-3.66732,1.33092,-0.0789174,3.10294,0.0463588,2005.69,797.544,1864.86,731.426,1960.38,588.4,2114.33,685.576,0.326608
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00416.jpg,2.6694,-3.72007,1.32331,-0.0789402,3.10213,0.0369829,2005.17,791.792,1864.3,726.086,1959.16,583.378,2113.18,680.219,0.406371
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00417.jpg,2.63523,-3.74627,1.29925,-0.0793973,3.10589,0.0599041,2001.36,783.865,1859.98,718.409,1953.78,575.337,2108.49,671.867,0.328893
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-163049/Training_Data/kodak_00418.jpg,2.64097,-3.77089,1.29512,-0.0807264,3.10662,0.060469,2001.1,781.227,1860.06,715.707,1952.95,573.181,2107.84,669.246,0.236033
