image,160_x,160_y,160_z,160_r1,160_r2,160_r3,160_bb_x1,160_bb_y1,160_bb_x2,160_bb_y2,160_bb_x3,160_bb_y3,160_bb_x4,160_bb_y4,160_error,144_x,144_y,144_z,144_r1,144_r2,144_r3,144_bb_x1,144_bb_y1,144_bb_x2,144_bb_y2,144_bb_x3,144_bb_y3,144_bb_x4,144_bb_y4,144_error
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/0.png,3.87062,4.03682,3.56032,-2.0892,0.0711342,1.73573,735.952,713.802,766.522,741.007,726.309,777.532,696.561,740.474,0.228305,-5.1045,-6.94179,5.02155,1.89115,2.41462,-0.642801,334.284,248.97,315.147,267.902,295.618,243.779,319.026,225.992,0.0709544
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/1.png,3.79546,4.0229,3.52668,-2.08693,0.0773316,1.74247,734.393,715.138,764.984,742.818,723.778,779.479,694.195,741.888,0.204822,-5.18646,-6.95842,5.05316,0.0669721,-2.65122,0.721864,332.791,249.75,313.687,269.109,293.907,245.06,317.388,227.027,0.204676
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/2.png,3.71952,4.008,3.49189,-2.083,0.0820825,1.75018,732.78,716.446,763.247,744.593,721.136,781.445,691.717,743.228,0.228144,-5.23738,-6.94975,5.06451,1.87586,2.42935,-0.608448,331.254,250.655,311.99,270.199,292.451,246.321,315.664,228.226,0.0866519
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/3.png,3.61727,4.03667,3.46782,-2.07745,0.0824604,1.75806,729.193,719.639,759.368,748.56,716.02,785.383,687.057,746.271,0.228471,-5.2579,-7.01771,5.09975,1.87383,2.43623,-0.617767,331.884,250.116,312.546,269.454,293.104,245.694,316.688,227.596,0.142172
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/4.png,3.5407,4.02167,3.43388,-2.07532,0.0956111,1.76901,727.236,721.099,757.703,750.251,713.356,787.336,684.39,747.795,0.207259,-5.34763,-7.04709,5.14382,-1.84845,-2.4588,0.632853,330.207,250.968,310.762,270.463,291.387,247.109,314.846,228.796,0.0989649
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/5.png,3.43678,4.04446,3.40685,-2.06767,0.0939728,1.77817,723.398,724.454,753.491,754.365,707.971,791.174,679.708,750.586,0.241607,-5.31871,-7.03281,5.12212,0.00262656,-2.65672,0.73174,330.909,250.477,311.164,269.83,291.898,246.62,315.566,228.421,0.205395
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/6.png,3.3639,4.03609,3.37851,-2.06647,0.0959112,1.7865,721.723,725.723,751.919,755.919,704.89,793.268,676.862,752.007,0.236925,-5.37066,-7.02014,5.13075,-1.84234,-2.46535,0.618839,329.307,251.693,309.734,271.266,290.247,247.983,313.842,229.39,0.0977819
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/7.png,3.28503,4.01852,3.3434,-2.05422,0.112267,1.79062,719.419,727.298,749.842,757.906,701.804,795.299,673.961,753.421,0.243269,-5.46495,-7.05175,5.17595,-1.81681,-2.47671,0.621636,327.505,252.401,307.842,272.348,288.656,249.244,312.312,230.597,0.0595615
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/8.png,3.17211,4.02833,3.30871,-2.05763,0.112407,1.8088,715.682,730.497,745.526,761.857,696.206,799.07,668.913,756.267,0.235831,-5.47404,-7.10584,5.20077,-1.81708,-2.47995,0.616166,328.125,251.79,308.441,271.733,289.295,248.805,312.878,230.01,0.108392
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/9.png,3.09673,4.01485,3.27761,-2.05165,0.122738,1.81685,713.561,731.826,743.184,763.983,692.835,801.141,665.972,757.713,0.24453,-5.52078,-7.07694,5.1989,-1.82156,-2.47339,0.600774,326.494,252.692,306.874,272.726,287.522,250.111,311.135,231.189,0.0703155
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/10.png,2.98378,4.02146,3.2427,-2.05513,0.122951,1.83103,709.462,734.954,738.892,767.929,686.9,804.703,660.796,760.474,0.262863,-5.5685,-7.17597,5.25955,-1.78077,-2.49897,0.596759,327.082,252.025,307.352,272.015,288.152,249.556,311.971,230.635,0.124784
/hri/localdisk/ThesisProject/Kaushik/Kaushik/Testing_Sample_Script/06032020-151329/Training_Data/11.png,2.91302,4.0097,3.21468,-2.04933,0.138859,1.84362,707.313,736.367,736.529,769.886,683.558,806.695,657.629,761.897,0.245976,-5.61214,-7.13746,5.25397,-1.78449,-2.4796,0.640723,325.571,253.429,305.818,273.182,286.444,251.028,310.324,231.809,0.0752337
