#time_of_image,time_of_closest_position_estimate,time_dist,filename,x,y
1583140119.3000,1583140119.2800,0.0200,kodak_00338.jpg,-0.0047,-0.2099
1583140119.5000,1583140119.5200,0.0200,kodak_00339.jpg,-0.0046,-0.2100
1583140120.1000,1583140120.1600,0.0600,kodak_00342.jpg,-0.0045,-0.2100
1583140120.7200,1583140120.7300,0.0100,kodak_00345.jpg,-0.0044,-0.2100
1583140122.3000,1583140122.3300,0.0300,kodak_00353.jpg,-0.0045,-0.2100
1583140123.3000,1583140123.3500,0.0500,kodak_00358.jpg,-0.0044,-0.2100
1583140124.3100,1583140124.3600,0.0500,kodak_00363.jpg,-0.0043,-0.2100
1583140127.5300,1583140127.5500,0.0200,kodak_00379.jpg,-0.0042,-0.2100
1583140127.7300,1583140127.7400,0.0100,kodak_00380.jpg,-0.0041,-0.2100
1583140129.1100,1583140129.1400,0.0300,kodak_00387.jpg,-0.0040,-0.2100
1583140130.5000,1583140130.5400,0.0400,kodak_00394.jpg,-0.0039,-0.2100
1583140131.1200,1583140131.1200,0.0000,kodak_00397.jpg,-0.0039,-0.2083
1583140131.3100,1583140131.3100,0.0000,kodak_00398.jpg,-0.0037,-0.2032
1583140131.5000,1583140131.5000,0.0000,kodak_00399.jpg,-0.0033,-0.1964
1583140131.7200,1583140131.7500,0.0300,kodak_00400.jpg,-0.0031,-0.1873
1583140131.9100,1583140131.9400,0.0300,kodak_00401.jpg,-0.0030,-0.1775
1583140132.1200,1583140132.1400,0.0200,kodak_00402.jpg,-0.0025,-0.1656
1583140132.3100,1583140132.3300,0.0200,kodak_00403.jpg,-0.0024,-0.1511
1583140132.5000,1583140132.5200,0.0200,kodak_00404.jpg,-0.0014,-0.1357
1583140132.7100,1583140132.7100,0.0000,kodak_00405.jpg,-0.0029,-0.1201
1583140132.9100,1583140132.9000,0.0100,kodak_00406.jpg,-0.0035,-0.1030
1583140133.1100,1583140133.1600,0.0500,kodak_00407.jpg,-0.0059,-0.0864
1583140133.3100,1583140133.3500,0.0400,kodak_00408.jpg,-0.0038,-0.0702
1583140133.5300,1583140133.5400,0.0100,kodak_00409.jpg,-0.0038,-0.0485
1583140133.7200,1583140133.7300,0.0100,kodak_00410.jpg,-0.0025,-0.0325
1583140133.9000,1583140133.9300,0.0300,kodak_00411.jpg,-0.0072,-0.0148
1583140134.1000,1583140134.1100,0.0100,kodak_00412.jpg,-0.0091,0.0041
1583140134.3000,1583140134.3000,0.0000,kodak_00413.jpg,0.0002,0.0117
1583140134.5100,1583140134.5600,0.0500,kodak_00414.jpg,-0.0040,0.0264
1583140134.7100,1583140134.7500,0.0400,kodak_00415.jpg,-0.0032,0.0425
1583140134.9100,1583140134.9400,0.0300,kodak_00416.jpg,-0.0016,0.0590
1583140135.1200,1583140135.1300,0.0100,kodak_00417.jpg,-0.0012,0.0760
1583140135.3200,1583140135.3200,0.0000,kodak_00418.jpg,-0.0005,0.0911
1583140135.5100,1583140135.5200,0.0100,kodak_00419.jpg,0.0002,0.1081
1583140135.7100,1583140135.7100,0.0000,kodak_00420.jpg,0.0010,0.1233
1583140135.9100,1583140135.9100,0.0000,kodak_00421.jpg,0.0012,0.1397
1583140136.1100,1583140136.1000,0.0100,kodak_00422.jpg,0.0018,0.1548
1583140136.3300,1583140136.3600,0.0300,kodak_00423.jpg,0.0020,0.1716
1583140136.5100,1583140136.5500,0.0400,kodak_00424.jpg,0.0026,0.1870
1583140136.7200,1583140136.7500,0.0300,kodak_00425.jpg,0.0027,0.2038
1583140136.9200,1583140136.9400,0.0200,kodak_00426.jpg,0.0029,0.2200
1583140137.1200,1583140137.1400,0.0200,kodak_00427.jpg,0.0036,0.2361
1583140137.3100,1583140137.3300,0.0200,kodak_00428.jpg,0.0036,0.2525
1583140137.5000,1583140137.5300,0.0300,kodak_00429.jpg,0.0048,0.2682
1583140137.7100,1583140137.7200,0.0100,kodak_00430.jpg,0.0050,0.2850
1583140137.9200,1583140137.9200,0.0000,kodak_00431.jpg,0.0056,0.3003
1583140138.1300,1583140138.1100,0.0200,kodak_00432.jpg,0.0062,0.3172
1583140138.3300,1583140138.3200,0.0100,kodak_00433.jpg,0.0075,0.3330
1583140138.5400,1583140138.5000,0.0400,kodak_00434.jpg,0.0071,0.3494
1583140138.7400,1583140138.7600,0.0200,kodak_00435.jpg,0.0072,0.3653
1583140138.9300,1583140138.9600,0.0300,kodak_00436.jpg,0.0093,0.3815
1583140139.1500,1583140139.1500,0.0000,kodak_00437.jpg,0.0077,0.3970
1583140139.3300,1583140139.3500,0.0200,kodak_00438.jpg,0.0072,0.4127
1583140139.5300,1583140139.5400,0.0100,kodak_00439.jpg,0.0071,0.4292
1583140139.7200,1583140139.7300,0.0100,kodak_00440.jpg,0.0074,0.4446
1583140140.1400,1583140140.1200,0.0200,kodak_00442.jpg,0.0067,0.4446
1583140140.3400,1583140140.3300,0.0100,kodak_00443.jpg,0.0066,0.4438
1583140140.5200,1583140140.5200,0.0000,kodak_00444.jpg,0.0066,0.4423
1583140140.9100,1583140140.9000,0.0100,kodak_00446.jpg,0.0075,0.4412
1583140141.1100,1583140141.1000,0.0100,kodak_00447.jpg,0.0318,0.4411
1583140141.3100,1583140141.3000,0.0100,kodak_00448.jpg,0.0726,0.4501
1583140141.5200,1583140141.5000,0.0200,kodak_00449.jpg,0.1178,0.4690
1583140141.7100,1583140141.7000,0.0100,kodak_00450.jpg,0.1574,0.4980
1583140141.9100,1583140141.9000,0.0100,kodak_00451.jpg,0.1886,0.5352
1583140142.1200,1583140142.1000,0.0200,kodak_00452.jpg,0.2108,0.5788
1583140142.3300,1583140142.3000,0.0300,kodak_00453.jpg,0.2212,0.6269
1583140142.5200,1583140142.5000,0.0200,kodak_00454.jpg,0.2211,0.6758
1583140142.7200,1583140142.7000,0.0200,kodak_00455.jpg,0.2099,0.7241
1583140142.9300,1583140142.9100,0.0200,kodak_00456.jpg,0.1861,0.7676
1583140143.1200,1583140143.1200,0.0000,kodak_00457.jpg,0.1551,0.8037
1583140143.3300,1583140143.3100,0.0200,kodak_00458.jpg,0.1293,0.8258
1583140143.5300,1583140143.5100,0.0200,kodak_00459.jpg,0.1235,0.8295
1583140143.7200,1583140143.7000,0.0200,kodak_00460.jpg,0.1256,0.8282
1583140143.9300,1583140143.9000,0.0300,kodak_00461.jpg,0.1255,0.8283
1583140144.1200,1583140144.1000,0.0200,kodak_00462.jpg,0.1254,0.8284
1583140144.3200,1583140144.3000,0.0200,kodak_00463.jpg,0.1253,0.8284
1583140144.7400,1583140144.7100,0.0300,kodak_00465.jpg,0.1252,0.8285
1583140146.5200,1583140146.4900,0.0300,kodak_00474.jpg,0.1251,0.8285
